Year,Month,District,Temp_2m,Precip,MaxTemp_2m,MinTemp_2m,Humidity_2m,Pressure
2020,1,Chitawan,10.6,16,22.0,9.0,67,1013
2020,2,Chitawan,13.9,24,25.0,11.0,64,1012
2020,3,Chitawan,17.2,44,29.0,14.0,60,1011
2020,4,Chitawan,21.0,62,32.0,18.0,58,1009
2020,5,Chitawan,23.5,102,34.0,20.0,67,1008
2020,6,Chitawan,25.5,216,33.5,23.0,78,1007
2020,7,Chitawan,26.2,480,33.0,24.0,85,1007
2020,8,Chitawan,26.0,315,32.8,23.5,86,1008
2020,9,Chitawan,25.0,265,32.0,23.0,83,1009
2020,10,Chitawan,22.0,50,30.0,19.0,76,1010
2020,11,Chitawan,17.0,8,26.0,13.0,72,1011
2020,12,Chitawan,13.0,13,23.0,9.0,70,1012
2021,1,Chitawan,11.0,17,22.5,9.0,68,1013
2021,2,Chitawan,14.5,26,25.5,11.5,65,1012
2021,3,Chitawan,17.5,47,29.5,14.5,61,1011
2021,4,Chitawan,21.5,64,32.5,18.5,59,1009
2021,5,Chitawan,23.8,104,34.5,20.5,68,1008
2021,6,Chitawan,25.8,220,34.0,23.5,79,1007
2021,7,Chitawan,26.5,485,33.5,24.5,86,1007
2021,8,Chitawan,26.3,320,33.0,23.8,87,1008
2021,9,Chitawan,25.2,270,32.5,23.2,84,1009
2021,10,Chitawan,22.2,52,30.2,19.2,77,1010
2021,11,Chitawan,17.2,9,26.2,13.2,72,1011
2021,12,Chitawan,13.2,14,23.2,9.2,70,1012
2022,1,Chitawan,11.2,18,22.7,9.2,68,1013
2022,2,Chitawan,14.8,28,25.7,11.7,66,1012
2022,3,Chitawan,17.8,50,29.7,14.7,62,1011
2022,4,Chitawan,21.8,67,32.7,18.7,60,1009
2022,5,Chitawan,24.0,108,34.7,20.7,69,1008
2022,6,Chitawan,26.0,225,34.2,23.7,80,1007
2022,7,Chitawan,26.7,490,33.7,24.7,87,1007
2022,8,Chitawan,26.5,325,33.2,23.9,88,1008
2022,9,Chitawan,25.4,275,32.7,23.3,85,1009
2022,10,Chitawan,22.4,53,30.4,19.4,77,1010
2022,11,Chitawan,17.4,10,26.4,13.4,73,1011
2022,12,Chitawan,13.4,15,23.4,9.4,71,1012
2023,1,Chitawan,11.5,19,23.0,9.5,69,1013
2023,2,Chitawan,15.0,30,26.0,12.0,67,1012
2023,3,Chitawan,18.0,52,30.0,15.0,63,1011
2023,4,Chitawan,22.0,70,33.0,19.0,61,1009
2023,5,Chitawan,24.3,110,35.0,21.0,70,1008
2023,6,Chitawan,26.2,230,34.5,24.0,81,1007
2023,7,Chitawan,27.0,500,34.0,25.0,88,1007
2023,8,Chitawan,26.8,330,33.5,24.0,88,1008
2023,9,Chitawan,25.7,280,33.0,23.5,85,1009
2023,10,Chitawan,22.7,55,30.5,19.5,78,1010
2023,11,Chitawan,17.7,11,26.5,13.5,73,1011
2023,12,Chitawan,13.7,16,23.5,9.5,71,1012
2024,1,Chitawan,11.7,20,23.2,9.7,69,1013
2024,2,Chitawan,15.2,32,26.2,12.2,67,1012
2024,3,Chitawan,18.2,55,30.2,15.2,63,1011
2024,4,Chitawan,22.2,72,33.2,19.2,61,1009
2024,5,Chitawan,24.5,115,35.2,21.2,70,1008
2024,6,Chitawan,26.5,235,34.7,24.2,81,1007
2024,7,Chitawan,27.2,510,34.2,25.2,88,1007
2024,8,Chitawan,27.0,340,33.7,24.2,88,1008
2024,9,Chitawan,25.9,285,33.2,23.7,85,1009
2024,10,Chitawan,22.9,56,30.7,19.7,78,1010
2024,11,Chitawan,17.9,12,26.7,13.7,73,1011
2024,12,Chitawan,13.9,17,23.7,9.7,71,1012
2025,1,Chitawan,11.9,21,23.4,9.9,69,1013
2025,2,Chitawan,15.4,34,26.4,12.4,67,1012
2025,3,Chitawan,18.4,57,30.4,15.4,63,1011
2025,4,Chitawan,22.4,73,33.4,19.4,61,1009
