Year,Month,District,Temp_2m,Precip,MaxTemp_2m,MinTemp_2m,Humidity_2m,Pressure
2020,1,Jhapa,17.8,6,21.8,11.4,53,1016
2020,2,Jhapa,23.6,10,25.1,14.0,45,1015
2020,3,Jhapa,30.0,24,29.6,17.8,37,1013
2020,4,Jhapa,37.0,85,32.1,21.5,45,1010
2020,5,Jhapa,46.0,186,31.6,22.9,62,1007
2020,6,Jhapa,55.0,352,31.4,24.3,74,1003
2020,7,Jhapa,56.0,552,30.4,24.4,81,1003
2020,8,Jhapa,55.0,548,30.8,24.3,79,1005
2020,9,Jhapa,52.0,196,29.5,23.0,79,1008
2020,10,Jhapa,40.0,26,28.2,19.8,72,1012
2020,11,Jhapa,30.0,3,25.6,16.0,65,1014
2020,12,Jhapa,24.0,3,22.4,13.0,62,1016
2021,1,Jhapa,17.8,6,21.8,11.4,53,1016
2021,2,Jhapa,23.6,10,25.1,14.0,45,1015
2021,3,Jhapa,30.0,24,29.6,17.8,37,1013
2021,4,Jhapa,37.0,85,32.1,21.5,45,1010
2021,5,Jhapa,46.0,186,31.6,22.9,62,1007
2021,6,Jhapa,55.0,352,31.4,24.3,74,1003
2021,7,Jhapa,56.0,552,30.4,24.4,81,1003
2021,8,Jhapa,55.0,548,30.8,24.3,79,1005
2021,9,Jhapa,52.0,196,29.5,23.0,79,1008
2021,10,Jhapa,40.0,26,28.2,19.8,72,1012
2021,11,Jhapa,30.0,3,25.6,16.0,65,1014
2021,12,Jhapa,24.0,3,22.4,13.0,62,1016
2022,1,Jhapa,18.0,6,21.8,11.4,54,1016
2022,2,Jhapa,24.0,10,25.1,14.0,46,1015
2022,3,Jhapa,30.2,24,29.6,17.8,38,1013
2022,4,Jhapa,37.2,85,32.1,21.5,46,1010
2022,5,Jhapa,46.2,186,31.6,22.9,63,1007
2022,6,Jhapa,55.2,352,31.4,24.3,75,1003
2022,7,Jhapa,56.2,552,30.4,24.4,81,1003
2022,8,Jhapa,55.2,548,30.8,24.3,79,1005
2022,9,Jhapa,52.2,196,29.5,23.0,79,1008
2022,10,Jhapa,40.2,26,28.2,19.8,72,1012
2022,11,Jhapa,30.2,3,25.6,16.0,65,1014
2022,12,Jhapa,24.2,3,22.4,13.0,62,1016
2023,1,Jhapa,18.2,6,21.8,11.4,54,1016
2023,2,Jhapa,24.2,10,25.1,14.0,46,1015
2023,3,Jhapa,30.4,24,29.6,17.8,38,1013
2023,4,Jhapa,37.4,85,32.1,21.5,46,1010
2023,5,Jhapa,46.4,186,31.6,22.9,63,1007
2023,6,Jhapa,55.4,352,31.4,24.3,75,1003
2023,7,Jhapa,56.4,552,30.4,24.4,81,1003
2023,8,Jhapa,55.4,548,30.8,24.3,79,1005
2023,9,Jhapa,52.4,196,29.5,23.0,79,1008
2023,10,Jhapa,40.4,26,28.2,19.8,72,1012
2023,11,Jhapa,30.4,3,25.6,16.0,65,1014
2023,12,Jhapa,24.4,3,22.4,13.0,62,1016
2024,1,Jhapa,18.4,6,21.8,11.4,54,1016
2024,2,Jhapa,24.4,10,25.1,14.0,46,1015
2024,3,Jhapa,30.6,24,29.6,17.8,38,1013
2024,4,Jhapa,37.6,85,32.1,21.5,46,1010
2024,5,Jhapa,46.6,186,31.6,22.9,63,1007
2024,6,Jhapa,55.6,352,31.4,24.3,75,1003
2024,7,Jhapa,56.6,552,30.4,24.4,81,1003
2024,8,Jhapa,55.6,548,30.8,24.3,79,1005
2024,9,Jhapa,52.6,196,29.5,23.0,79,1008
2024,10,Jhapa,40.6,26,28.2,19.8,72,1012
2024,11,Jhapa,30.6,3,25.6,16.0,65,1014
2024,12,Jhapa,24.6,3,22.4,13.0,62,1016
2025,1,Jhapa,18.6,6,21.8,11.4,54,1016
2025,2,Jhapa,24.8,10,25.1,14.0,46,1015
2025,3,Jhapa,30.8,24,29.6,17.8,38,1013
2025,4,Jhapa,38.0,200,32.1,21.5,46,1010
