Year,Month,District,Temp_2m,Precip,MaxTemp_2m,MinTemp_2m,Humidity_2m,Pressure
2020,1,Kathmandu,9.2,15,15.8,3.5,75,1012
2020,2,Kathmandu,12.7,21,18.5,6.2,70,1011
2020,3,Kathmandu,16.8,27,22.4,10.8,65,1010
2020,4,Kathmandu,19.4,15,26.2,13.1,60,1009
2020,5,Kathmandu,23.5,70,30.0,17.5,70,1009
2020,6,Kathmandu,24.4,206,29.8,19.2,85,1008
2020,7,Kathmandu,23.8,352,29.1,19.6,90,1008
2020,8,Kathmandu,24.6,418,29.3,19.9,90,1008
2020,9,Kathmandu,23.3,93,28.4,18.6,85,1009
2020,10,Kathmandu,20.9,19,25.0,14.8,75,1010
2020,11,Kathmandu,15.7,6,20.1,9.4,70,1011
2020,12,Kathmandu,10.4,0,16.0,4.0,75,1012
2021,1,Kathmandu,10.3,4,16.2,4.3,76,1012
2021,2,Kathmandu,13.2,9,19.0,6.8,71,1011
2021,3,Kathmandu,15.0,71,22.0,10.5,68,1010
2021,4,Kathmandu,19.8,81,27.0,13.7,62,1009
2021,5,Kathmandu,22.2,115,29.7,17.1,75,1009
2021,6,Kathmandu,24.2,158,30.0,19.9,88,1008
2021,7,Kathmandu,24.2,328,29.5,20.2,92,1008
2021,8,Kathmandu,24.0,332,29.2,20.0,91,1008
2021,9,Kathmandu,22.8,219,27.6,18.9,84,1009
2021,10,Kathmandu,20.6,0,24.5,14.0,75,1010
2021,11,Kathmandu,15.0,7,20.5,9.0,70,1011
2021,12,Kathmandu,11.2,0,16.8,4.5,77,1012
2022,1,Kathmandu,8.6,23,14.8,3.8,74,1012
2022,2,Kathmandu,12.7,1,18.7,6.5,70,1011
2022,3,Kathmandu,18.8,48,22.8,11.0,66,1010
2022,4,Kathmandu,21.2,16,27.3,14.0,63,1009
2022,5,Kathmandu,23.7,51,29.8,17.4,72,1009
2022,6,Kathmandu,24.4,199,30.1,20.0,87,1008
2022,7,Kathmandu,23.7,599,29.7,20.3,93,1008
2022,8,Kathmandu,24.4,205,29.4,20.1,90,1008
2022,9,Kathmandu,23.4,253,27.9,18.7,85,1009
2022,10,Kathmandu,19.1,4,24.2,14.1,76,1010
2022,11,Kathmandu,13.9,0,19.8,9.2,72,1011
2022,12,Kathmandu,12.2,0,16.5,5.0,78,1012
2023,1,Kathmandu,9.3,11,15.5,3.9,74,1012
2023,2,Kathmandu,14.2,21,18.9,6.4,71,1011
2023,3,Kathmandu,17.5,2,22.5,11.1,67,1010
2023,4,Kathmandu,22.2,10,27.6,14.3,63,1009
2023,5,Kathmandu,24.3,93,30.2,17.7,74,1009
2023,6,Kathmandu,23.7,274,30.0,20.1,88,1008
2023,7,Kathmandu,23.6,581,29.6,20.4,92,1008
2023,8,Kathmandu,23.5,564,29.3,20.2,91,1008
2023,9,Kathmandu,23.9,147,28.1,18.9,85,1009
2023,10,Kathmandu,19.0,20,24.0,14.0,75,1010
2023,11,Kathmandu,14.1,0,19.3,9.4,72,1011
2023,12,Kathmandu,10.1,0,16.1,4.8,77,1012
2024,1,Kathmandu,9.4,11,15.6,4.0,74,1012
2024,2,Kathmandu,12.4,28,18.3,6.3,71,1011
2024,3,Kathmandu,17.8,54,22.6,11.3,67,1010
2024,4,Kathmandu,19.3,61,27.1,14.0,62,1009
2024,5,Kathmandu,22.2,247,29.9,17.5,73,1009
2024,6,Kathmandu,23.9,334,30.1,20.0,88,1008
2024,7,Kathmandu,23.9,415,29.7,20.3,93,1008
2024,8,Kathmandu,23.9,369,29.3,20.1,90,1008
2024,9,Kathmandu,23.4,187,27.8,18.7,85,1009
2024,10,Kathmandu,20.2,68,24.4,14.1,76,1010
2024,11,Kathmandu,15.9,24,20.7,9.3,72,1011
2024,12,Kathmandu,11.1,6,16.5,5.0,77,1012
2025,1,Kathmandu,9.9,18,16.0,4.2,75,1012
2025,2,Kathmandu,12.7,28,18.8,6.6,70,1011
2025,3,Kathmandu,17.4,54,22.7,11.2,67,1010
2025,4,Kathmandu,21.6,61,27.5,14.2,63,1009
2025,5,Kathmandu,24.3,247,30.0,17.7,74,1009
