Year,Month,District,Temp_2m,Precip,MaxTemp_2m,MinTemp_2m,Humidity_2m,Pressure,WindSpeed_50m
2000,1,Kabhre,5.091935483870968,0.7200000000000001,12.420967741935485,0.4748387096774193,2.29,78.01322580645162,2.186451612903226
2000,2,Kabhre,4.510344827586208,1.16,11.918620689655173,-0.8162068965517242,2.1948275862068964,77.88827586206898,2.4172413793103447
2000,3,Kabhre,9.569354838709677,2.88,17.019032258064517,3.676129032258064,2.2825806451612904,77.91741935483871,2.72741935483871
2000,4,Kabhre,15.685333333333334,8.459999999999999,23.040666666666667,9.256666666666666,3.7843333333333335,77.836,2.9136666666666664
2000,5,Kabhre,17.942903225806454,51.65,23.593225806451613,12.93741935483871,9.600645161290323,77.81322580645161,2.379354838709677
2000,6,Kabhre,18.351666666666667,138.21,22.995,14.421666666666663,12.904,77.645,2.389
2000,7,Kabhre,,118.11,22.13741935483871,15.151290322580644,14.307419354838707,77.6,2.285806451612903
2000,8,Kabhre,17.7041935483871,158.63,21.477096774193548,14.894516129032258,14.406774193548388,77.70677419354838,2.265483870967742
2000,9,Kabhre,15.707,115.69,19.717666666666663,12.645666666666669,12.431,77.89966666666666,1.7726666666666666
2000,10,Kabhre,,,19.35322580645161,9.858709677419355,8.560645161290322,78.11129032258064,1.822258064516129
2000,11,Kabhre,9.678,1.62,16.146666666666665,5.656666666666666,5.158666666666666,78.20333333333333,1.8283333333333331
2000,12,Kabhre,7.050645161290323,0.03,14.238709677419354,2.9125806451612903,2.72741935483871,78.14483870967742,1.7151612903225808
2001,1,Kabhre,5.301290322580646,0.29,12.816129032258065,0.8619354838709677,2.243870967741936,77.94612903225806,2.139354838709677
2001,2,Kabhre,7.782857142857142,0.17,15.312857142857142,2.647142857142857,2.2425,77.95,2.3328571428571427
2001,3,Kabhre,10.79548387096774,3.62,18.381612903225808,4.889354838709677,2.530967741935484,78.02612903225807,2.7758064516129037
2001,4,Kabhre,,5.84,22.263666666666666,8.473666666666666,4.154,78.016,2.998
2001,5,Kabhre,17.655806451612904,35.32,23.49,12.519354838709678,9.40483870967742,77.75967741935484,2.4725806451612904
2001,6,Kabhre,18.896,66.04,24.09466666666667,14.693333333333332,12.776333333333334,77.56933333333333,2.3823333333333334
2001,7,Kabhre,19.18935483870968,154.23,23.864516129032257,15.568387096774194,14.255483870967742,77.63451612903226,2.306451612903226
2001,8,Kabhre,18.29258064516129,134.85,22.434516129032257,15.074193548387097,14.321612903225809,77.77645161290323,2.134193548387097
2001,9,Kabhre,16.019,95.84,20.118333333333336,12.970666666666666,12.331333333333331,77.98533333333333,1.6906666666666663
2001,10,Kabhre,13.507096774193547,20.91,18.703225806451613,9.930967741935484,9.154193548387097,78.18612903225807,1.751290322580645
2001,11,Kabhre,10.168,0.19,16.74233333333333,6.022,4.947,78.32633333333334,1.7876666666666667
2001,12,Kabhre,6.4393548387096775,0.0,13.257741935483873,2.5341935483870968,2.852903225806452,78.32387096774194,1.716451612903226
2002,1,Kabhre,,10.89,11.471935483870968,0.3690322580645161,3.0074193548387096,78.11677419354838,1.9332258064516128
2002,2,Kabhre,7.643928571428572,8.95,15.185714285714283,2.552142857142857,2.9475,78.2625,2.315714285714286
2002,3,Kabhre,11.08032258064516,22.07,18.293548387096774,5.543548387096774,3.73258064516129,78.08451612903225,2.5593548387096776
2002,4,Kabhre,15.064,7.609999999999999,21.851666666666667,9.199000000000002,5.456,77.991,2.775
2002,5,Kabhre,17.09193548387097,,22.975483870967743,12.008064516129032,9.111612903225806,77.76387096774194,2.4293548387096773
2002,6,Kabhre,18.834,64.0,24.025666666666663,14.222666666666669,12.004333333333332,77.69066666666666,2.3756666666666666
2002,7,Kabhre,19.001290322580644,,23.461290322580645,15.485161290322582,13.35774193548387,77.57354838709676,2.274193548387097
2002,8,Kabhre,18.054193548387097,86.72,22.42774193548387,14.773548387096774,13.871612903225806,77.76741935483871,2.1525806451612906
2002,9,Kabhre,16.505666666666666,44.59,21.699,12.787333333333333,11.477,78.051,1.9936666666666667
2002,10,Kabhre,13.137419354838707,21.13,19.160967741935483,8.980645161290322,7.518064516129033,78.21935483870968,1.8867741935483875
2002,11,Kabhre,10.211666666666668,0.09,17.057333333333336,5.850666666666667,4.411333333333333,78.261,1.8533333333333333
2002,12,Kabhre,6.637741935483871,8.94,13.73225806451613,2.479354838709677,2.938064516129032,78.17645161290322,1.778709677419355
2003,1,Kabhre,5.341290322580645,4.92,12.99967741935484,0.464516129032258,2.2893548387096776,78.2041935483871,2.062903225806452
2003,2,Kabhre,5.721428571428571,40.81,12.809285714285716,0.6617857142857143,3.534642857142857,78.10571428571428,2.193214285714286
2003,3,Kabhre,9.72225806451613,2.71,16.807741935483868,4.20741935483871,4.273870967741936,78.04516129032258,2.575806451612903
2003,4,Kabhre,15.577333333333334,4.94,22.720666666666663,9.367333333333333,4.528666666666667,78.06033333333333,2.664
2003,5,Kabhre,16.93516129032258,,23.51225806451613,10.786129032258064,6.203548387096775,77.84580645161292,2.728064516129032
2003,6,Kabhre,18.96466666666667,80.79,24.13733333333333,14.540333333333333,11.102666666666666,77.566,2.506
2003,7,Kabhre,18.40967741935484,145.75,22.54,15.131612903225806,14.18,77.76129032258065,2.283225806451613
2003,8,Kabhre,18.42935483870968,74.54,22.58935483870968,15.172258064516129,14.34483870967742,77.80032258064516,2.117096774193548
2003,9,Kabhre,17.073,46.83,21.38233333333333,13.912333333333333,12.864666666666666,77.959,1.88
2003,10,Kabhre,,31.16,20.313225806451616,9.774838709677418,7.212580645161291,78.25419354838711,1.9058064516129032
2003,11,Kabhre,9.902,0.08,16.63,5.8806666666666665,4.482333333333333,78.27766666666666,1.8323333333333331
2003,12,Kabhre,6.232258064516128,13.43,13.077419354838709,2.0980645161290323,3.2532258064516126,78.27032258064517,1.6958064516129032
2004,1,Kabhre,4.492580645161291,18.48,11.427741935483873,0.1070967741935483,3.149354838709677,78.0667741935484,1.9212903225806448
2004,2,Kabhre,6.869999999999999,0.04,14.171379310344827,1.7586206896551724,3.1041379310344825,78.05999999999999,2.222413793103448
2004,3,Kabhre,12.629677419354838,17.0,20.153548387096773,6.853225806451612,3.851612903225807,78.06419354838711,2.603870967741936
2004,4,Kabhre,14.829333333333333,132.2,20.967,9.476666666666668,6.431333333333333,77.961,2.394333333333333
2004,5,Kabhre,16.575161290322583,102.36,22.245483870967742,11.46032258064516,8.888709677419355,77.79096774193549,2.372903225806452
2004,6,Kabhre,17.46066666666667,128.19,21.747666666666664,13.806,12.882666666666667,77.70033333333335,2.2636666666666665
2004,7,Kabhre,17.183225806451613,345.52,20.506774193548388,14.387419354838707,14.319032258064516,77.64548387096775,2.3070967741935484
2004,8,Kabhre,17.608064516129033,164.86,21.164516129032258,14.552903225806451,14.651612903225804,77.70967741935483,1.9948387096774196
2004,9,Kabhre,16.069666666666667,132.54999999999998,19.79233333333333,13.116,13.160666666666666,78.05933333333334,1.7263333333333333
2004,10,Kabhre,11.55,59.34,16.30258064516129,8.110967741935484,8.339032258064515,78.3341935483871,1.67
2004,11,Kabhre,7.955666666666667,,13.277333333333331,4.321666666666667,5.614999999999999,78.31833333333334,1.6233333333333335
2004,12,Kabhre,6.339032258064516,0.05,12.426129032258064,2.369677419354839,4.493548387096775,78.23064516129033,1.6087096774193548
2005,1,Kabhre,4.260322580645161,44.35,10.38,0.1587096774193548,3.681935483870968,78.09032258064516,1.94
2005,2,Kabhre,6.4121428571428565,12.16,13.12,1.3992857142857142,4.171785714285714,78.09285714285714,2.4335714285714287
2005,3,Kabhre,10.916129032258064,21.24,17.583225806451615,5.740322580645161,5.109032258064516,78.10645161290323,2.545483870967742
2005,4,Kabhre,14.045,25.22,20.97533333333333,7.895333333333332,4.764666666666667,78.16166666666666,2.6926666666666668
2005,5,Kabhre,16.26258064516129,28.91,22.395806451612906,10.34290322580645,7.007419354838709,77.86612903225806,2.4861290322580643
2005,6,Kabhre,19.211,137.52,24.56433333333333,14.461333333333334,10.650666666666666,77.59833333333333,2.3506666666666667
2005,7,Kabhre,17.966451612903228,244.72,21.661290322580644,14.801612903225807,14.61451612903226,77.70387096774193,2.329032258064516
2005,8,Kabhre,17.64516129032258,240.32,21.114516129032257,14.88774193548387,14.868064516129031,77.66709677419354,2.118387096774194
2005,9,Kabhre,16.548333333333332,78.5,20.482333333333333,13.496666666666666,13.086,78.047,1.7816666666666665
2005,10,Kabhre,12.335806451612903,115.32,17.18,8.80741935483871,8.790645161290323,78.27709677419355,1.594516129032258
2005,11,Kabhre,8.547,,14.359,4.689666666666667,5.355666666666667,78.22166666666666,1.6003333333333332
2005,12,Kabhre,6.563548387096774,0.02,13.15258064516129,2.6980645161290324,3.111612903225806,78.18354838709678,1.7348387096774194
2006,1,Kabhre,6.747419354838709,0.0,14.057419354838707,2.226774193548388,2.78,78.1441935483871,2.246451612903226
2006,2,Kabhre,9.752142857142855,0.0,16.814285714285713,5.011071428571428,4.050357142857143,78.15214285714286,2.0732142857142857
2006,3,Kabhre,10.393225806451612,20.82,17.549677419354836,4.913548387096774,3.809032258064516,78.04935483870969,2.490322580645161
2006,4,Kabhre,14.013,14.66,20.71333333333333,8.033666666666667,5.222666666666667,77.98266666666667,2.5716666666666668
2006,5,Kabhre,17.166774193548385,111.03,22.48677419354839,12.420645161290324,10.290322580645162,77.90645161290323,2.257096774193548
2006,6,Kabhre,17.399,188.15,21.78533333333333,13.539,12.314,77.75633333333333,2.164333333333333
2006,7,Kabhre,18.26258064516129,255.33,21.86032258064516,15.23258064516129,15.127096774193548,77.62387096774194,2.1606451612903226
2006,8,Kabhre,17.63225806451613,142.08,21.37290322580645,14.56032258064516,14.347741935483873,77.79451612903226,1.98
2006,9,Kabhre,15.92,180.08,19.524,13.071666666666664,12.889,78.018,1.754
2006,10,Kabhre,12.47967741935484,24.09,17.187096774193545,9.115806451612904,9.273548387096774,78.33290322580646,1.674838709677419
2006,11,Kabhre,8.608,1.96,14.118666666666666,4.971,5.866,78.24533333333333,1.7596666666666667
2006,12,Kabhre,6.661935483870968,19.360000000000003,12.955806451612904,2.8654838709677417,4.17741935483871,78.26483870967742,1.78
